job,total_contacts,successful_contacts,success_rate,avg_duration,expected_value_per_contact,total_cost,total_revenue,total_profit,roi_percent
student,875,275,0.3142857142857143,283.6834285714286,68.57142857142857,8750,68750,60000,685.7142857142857
retired,1718,434,0.25261932479627475,273.90977881257277,53.15483119906869,17180,108500,91320,531.5483119906869
unemployed,1014,144,0.14201183431952663,249.4516765285996,25.502958579881657,10140,36000,25860,255.02958579881656
admin.,10419,1351,0.12966695460216912,254.31596122468568,22.41673865054228,104190,337750,233560,224.1673865054228
management,2924,328,0.1121751025991792,257.0581395348837,18.043775649794803,29240,82000,52760,180.43775649794802
unknown,330,37,0.11212121212121212,239.6757575757576,18.03030303030303,3300,9250,5950,180.3030303030303
technician,6739,730,0.10832467725181778,250.28743136963942,17.081169312954447,67390,182500,115110,170.81169312954444
self-employed,1421,149,0.10485573539760731,264.1421534130894,16.21393384940183,14210,37250,23040,162.1393384940183
housemaid,1060,106,0.1,250.45471698113207,15.0,10600,26500,15900,150.0
entrepreneur,1456,124,0.08516483516483517,263.26785714285717,11.291208791208792,14560,31000,16440,112.91208791208791
services,3967,323,0.0814217292664482,258.49130325182756,10.355432316612049,39670,80750,41080,103.5543231661205
blue-collar,9253,638,0.06895061061277423,264.5575489030585,7.237652653193557,92530,159500,66970,72.37652653193558
