job,total_contacts,successful_contacts,success_rate,avg_duration,expected_value_per_contact,total_cost,total_revenue,total_profit,roi_percent
student,875,275,0.3142857142857143,283.6834285714286,147.14285714285714,8750,137500,128750,1471.4285714285713
retired,1718,434,0.25261932479627475,273.90977881257277,116.30966239813738,17180,217000,199820,1163.0966239813738
unemployed,1014,144,0.14201183431952663,249.4516765285996,61.005917159763314,10140,72000,61860,610.0591715976332
admin.,10419,1351,0.12966695460216912,254.31596122468568,54.83347730108456,104190,675500,571310,548.3347730108455
management,2924,328,0.1121751025991792,257.0581395348837,46.087551299589606,29240,164000,134760,460.87551299589603
unknown,330,37,0.11212121212121212,239.6757575757576,46.06060606060606,3300,18500,15200,460.6060606060606
technician,6739,730,0.10832467725181778,250.28743136963942,44.162338625908895,67390,365000,297610,441.6233862590889
self-employed,1421,149,0.10485573539760731,264.1421534130894,42.42786769880366,14210,74500,60290,424.2786769880366
housemaid,1060,106,0.1,250.45471698113207,40.0,10600,53000,42400,400.0
entrepreneur,1456,124,0.08516483516483517,263.26785714285717,32.582417582417584,14560,62000,47440,325.8241758241758
services,3967,323,0.0814217292664482,258.49130325182756,30.710864633224098,39670,161500,121830,307.108646332241
blue-collar,9253,638,0.06895061061277423,264.5575489030585,24.475305306387114,92530,319000,226470,244.75305306387116
