model,capacity_percent,contacts,responders_captured,coverage_percent,precision_at_k,lift
Logistic Regression,5,412,243,9.570697124852304,0.5898058252427184,1.913210231074844
Logistic Regression,10,824,514,20.2441906262308,0.6237864077669902,2.0234363349227773
Logistic Regression,20,1648,937,36.904293028751475,0.5685679611650486,1.8443189161698859
Logistic Regression,30,2471,1312,51.67388735722726,0.5309591258599757,1.7223234976694604
Logistic Regression,50,4118,1797,70.77589602205593,0.43637688198154445,1.4155179204411186
Random Forest,5,412,244,9.610082709728239,0.5922330097087378,1.9210835242068391
Random Forest,10,824,521,20.519889720362347,0.6322815533980582,2.0509928608847607
Random Forest,20,1648,960,37.81016148089799,0.5825242718446602,1.8895903516788581
Random Forest,30,2471,1304,51.358802678219774,0.5277215702144881,1.7118215251226954
Random Forest,50,4118,1828,71.99684915320992,0.4439048081593006,1.4399369830641984
