feature,importance_mean,importance_std
poutcome,0.07763824854148159,0.004313647570058009
pdays,0.04516379600164379,0.0028544674451707157
month,0.03810791303575588,0.0015531766679272294
contact,0.006576439494866815,0.0014230702938833792
default,0.005808281454408326,0.0013191151694658448
cons.conf.idx,0.0039837261582952085,0.0022564702045291328
day_of_week,0.003939966819220797,0.0012191560071176156
age,0.0024112385743621178,0.0006063987818912452
marital,0.0010741789890038155,0.0012285770667583265
housing,0.0009932315246730327,0.0006471141108972063
job,0.0005993617463941892,0.0013911545035157325
emp.var.rate,0.0,0.0
euribor3m,0.0,0.0
nr.employed,0.0,0.0
loan,-0.0008270503643249327,0.00025251062624373385
education,-0.000980057213812291,0.0010788205843346873
had_previous_contact,-0.0021576403467639116,0.0008353077448198746
previous,-0.003469568481459917,0.0008095847611486816
cons.price.idx,-0.022159142775414774,0.0035760760653550175
