dimension,subgroup,records,responders,base_rate,selected,selection_rate,precision,recall,coverage
age_group,25-35,3338,913,0.27351707609346915,598,0.17914919113241462,0.5668896321070234,0.37130339539978097,35.3125
age_group,35-45,1818,494,0.2717271727172717,263,0.14466446644664466,0.6425855513307985,0.34210526315789475,17.604166666666668
age_group,45-55,1127,357,0.3167701863354037,168,0.14906832298136646,0.625,0.29411764705882354,10.9375
age_group,55-65,716,278,0.388268156424581,223,0.31145251396648044,0.5695067264573991,0.4568345323741007,13.229166666666666
age_group,65+,520,251,0.4826923076923077,194,0.3730769230769231,0.5721649484536082,0.44223107569721115,11.5625
age_group,<25,717,246,0.34309623430962344,202,0.28172942817294283,0.5396039603960396,0.44308943089430897,11.354166666666666
job,admin.,2381,793,0.3330533389332213,511,0.21461570768584629,0.6046966731898239,0.3896595208070618,32.1875
job,blue-collar,1295,216,0.1667953667953668,92,0.07104247104247104,0.45652173913043476,0.19444444444444445,4.375
job,entrepreneur,195,45,0.23076923076923078,16,0.08205128205128205,0.4375,0.15555555555555556,0.7291666666666666
job,housemaid,180,67,0.37222222222222223,41,0.22777777777777777,0.5853658536585366,0.3582089552238806,2.5
job,management,524,169,0.32251908396946566,93,0.17748091603053434,0.6989247311827957,0.38461538461538464,6.770833333333333
job,retired,729,321,0.4403292181069959,277,0.37997256515775035,0.5812274368231047,0.5015576323987538,16.770833333333332
job,self-employed,265,68,0.25660377358490566,47,0.17735849056603772,0.46808510638297873,0.3235294117647059,2.2916666666666665
job,services,644,145,0.2251552795031056,54,0.08385093167701864,0.6111111111111112,0.22758620689655173,3.4375
job,student,528,215,0.4071969696969697,186,0.3522727272727273,0.5806451612903226,0.5023255813953489,11.25
job,technician,1166,377,0.32332761578044594,249,0.21355060034305318,0.5823293172690763,0.38461538461538464,15.104166666666666
job,unemployed,265,101,0.38113207547169814,62,0.2339622641509434,0.6290322580645161,0.38613861386138615,4.0625
job,unknown,64,22,0.34375,20,0.3125,0.25,0.22727272727272727,0.5208333333333334
marital,divorced,844,252,0.2985781990521327,115,0.1362559241706161,0.6782608695652174,0.30952380952380953,8.125
marital,married,4194,1319,0.3144969003338102,814,0.19408679065331425,0.5786240786240786,0.3570887035633055,49.0625
marital,single,3180,961,0.3022012578616352,714,0.22452830188679246,0.5700280112044818,0.42351716961498437,42.395833333333336
marital,unknown,18,7,0.3888888888888889,5,0.2777777777777778,0.8,0.5714285714285714,0.4166666666666667
