model,config,roc_auc,average_precision
Random Forest,default,0.601160112068071,0.16837183932590266
Random Forest,depth8,0.590716094220193,0.1554426199072294
Random Forest,depthNone,0.6060329978208986,0.1689600047413311
Random Forest,leaf5,0.5888827435924042,0.1588893148309043
Random Forest,leaf20,0.5962851509805956,0.1622692496152358
Random Forest,trees200,0.6031686209401266,0.1693082768987909
Histogram Gradient Boosting,default,0.5409902459271558,0.14830779959414528
Histogram Gradient Boosting,lr0.1,0.5069877555255786,0.13328362983666855
Histogram Gradient Boosting,iter200,0.5573722112690671,0.15245100488063273
Histogram Gradient Boosting,leaves63,0.5390695237106984,0.14510345273074765
Histogram Gradient Boosting,small,0.5645822351354156,0.16194436124643216
Logistic Regression,default,0.5673162810003114,0.13440654007169567
Logistic Regression,C0.1,0.5718403029988586,0.1352789061096777
Logistic Regression,C10,0.5666780118294075,0.13428453808003157
